Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
cotter,Cotter Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname C",true,Plaque size,Standard,,,,,4589,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/cotter-B-H.jpg,1,Cotter,false,Cotter Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
kavanagh,Kavanagh Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname K",true,Plaque size,Standard,,,,,1590,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/kavanagh-B-H.jpg,1,Kavanagh,false,Kavanagh Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hagan,Hagan Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1113,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hagan-B-H.jpg,1,Hagan,false,Hagan Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
harris,Harris Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1235,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/harris-B-H.jpg,1,Harris,false,Harris Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hill,Hill Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1426,0.05,shopify,20,deny,manual,12.45,,true,false,,https://cdn.shopify.com/s/files/1/0533/2089/files/placeholder-images-image_large.png,1,Hill,false,Hill Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
hyland,Hyland Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Plaque size,Standard,,,,,1488,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hyland-B-H.jpg,1,Hyland,false,Hyland Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
jackson,Jackson Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname J",true,Plaque size,Standard,,,,,1535,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/jackson-B-H.jpg,1,Jackson,false,Jackson Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
johnston,Johnston Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname J",true,Plaque size,Standard,,,,,1549,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/johnston-B-H.jpg,1,Johnston,false,Johnston Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
jones,Jones Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname J",true,Plaque size,Standard,,,,,1556,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/jones-B-H.jpg,1,Jones,false,Jones Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
joyce,Joyce Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname J",true,Plaque size,Standard,,,,,1570,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/joyce-B-H-1.jpg,1,Joyce,false,Joyce Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
kane,Kane Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname K",true,Plaque size,Standard,,,,,1578,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/kane-B-H.jpg,1,Kane,false,Kane Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
keane,Keane Family name History & Crest Plaques,<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches.&nbsp;</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.</p>,Irish Family Surnames,Home & Garden > Decor > Decorative Plaques,Decorative Plaques,"Heraldic Irish Family Names, Gifts under €25, Surname K",true,Plaque size,Standard,,,,,1601,0.05,shopify,20,deny,manual,12.45,,true,false,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/keane-B-H.jpg,1,Keane,false,Keane Family name History & Crest Plaques,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. Family Histories and Family Combinations are supplied mounted and ready to frame.,,,,,,,,,,,,,g,,,true,true,,,active
