Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Cost per item,Status
reilly,Reilly,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-REILLY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/reilly-B-H.jpg,1,Reilly,false,Reilly,Imported product — review before publishing.,g,,unlisted
riordan,Riordan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-RIORDAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/riordan-B-H.jpg,1,Riordan,false,Riordan,Imported product — review before publishing.,g,,unlisted
roach,Roach,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-ROACH,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/roach-B-H.jpg,1,Roach,false,Roach,Imported product — review before publishing.,g,,unlisted
stapleton,Stapleton,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-STAPLETON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/stapleton-B-H.jpg,1,Stapleton,false,Stapleton,Imported product — review before publishing.,g,,unlisted
sullivan,Sullivan,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-SULLIVAN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/sullivan-B-H.jpg,1,Sullivan,false,Sullivan,Imported product — review before publishing.,g,,unlisted
sweeney,Sweeney,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-SWEENEY,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/sweeney-B-H.jpg,1,Sweeney,false,Sweeney,Imported product — review before publishing.,g,,unlisted
tobin,Tobin,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-TOBIN,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/tobin-B-H.jpg,1,Tobin,false,Tobin,Imported product — review before publishing.,g,,unlisted
toole,Toole,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-TOOLE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/toole-B-H.jpg,1,Toole,false,Toole,Imported product — review before publishing.,g,,unlisted
white,White,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-WHITE,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/white-B-H.jpg,1,White,false,White,Imported product — review before publishing.,g,,unlisted
williams,Williams,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-WILLIAMS,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/williams-B-H.jpg,1,Williams,false,Williams,Imported product — review before publishing.,g,,unlisted
wilson,Wilson,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-WILSON,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/wilson-B-H.jpg,1,Wilson,false,Wilson,Imported product — review before publishing.,g,,unlisted
woods,Woods,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-WOODS,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/woods-B-H.jpg,1,Woods,false,Woods,Imported product — review before publishing.,g,,unlisted
young,Young,<p>Product details coming soon.</p>,Irish Family Surnames,,General,"imported, unlisted",false,Title,Default Title,,,,,IMP-YOUNG,0,shopify,0,deny,manual,0.00,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/young-B-H.jpg,1,Young,false,Young,Imported product — review before publishing.,g,,unlisted
