Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
harte,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hart-B-H-300x375.jpg,3,Harte,,,,,,,,,,,,,,,,,,,,,,,active
harte,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hennessy-B-H-300x375.jpg,4,Harte,,,,,,,,,,,,,,,,,,,,,,,active
harte,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hackett-B-H-300x375.jpg,5,Harte,,,,,,,,,,,,,,,,,,,,,,,active
hackett,Family name History & Crest Plaques - Hackett,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1102,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hackett-B-H.jpg,1,Hackett,false,Family name History & Crest Plaques - Hackett,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hackett,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hackett,,,,,,,,,,,,,,,,,,,,,,,active
hackett,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hughes-B-H-300x375.jpg,3,Hackett,,,,,,,,,,,,,,,,,,,,,,,active
hackett,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/halloran-B-H-300x375.jpg,4,Hackett,,,,,,,,,,,,,,,,,,,,,,,active
hackett,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hyland-B-H-300x375.jpg,5,Hackett,,,,,,,,,,,,,,,,,,,,,,,active
hall,Family name History & Crest Plaques - Hall,"<p>Learn the full history of your family with a Family History or a Crest/History Combination.</p><p>Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90</p><p>Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50</p><p>Family Combination (History &amp;amp;amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95</p><p>Family Histories and Family Combinations are supplied mounted and ready to frame.<br/>FREE WORLDWIDE POSTAGE</p>",Irish Family Surnames,,General,"Heraldic Irish Family Names, Gifts under €25, Surname H",true,Title,Default Title,,,,,1126,0,shopify,20,deny,manual,12.45,,true,true,,https://irishfamilysurnames.com/wp-content/uploads/2021/04/hall-B-H.jpg,1,Hall,false,Family name History & Crest Plaques - Hall,Learn the full history of your family with a Family History or a Crest/History Combination. Family History Standard : 16 x 20 cm | 6 x 8 inches. €9.90 Family History Large : 20 x 26 cm | 8 x 10 inches. €12.50 Family Combination (History &amp; Crest) : 26 x 20 cm | 10 x 8 inches.€14.95 Family Histories and Family Combin,,,,,,,,,,,,,g,,,true,true,,,active
hall,,,,,,,true,,,,,,,,,,,,,,,,,,https://irishfamilysurnames.com/wp-content/uploads/2021/03/irishfamilysurnameslogo2.jpg,2,Hall,,,,,,,,,,,,,,,,,,,,,,,active
